27
ALA 0 0
ARG 5 729
N CA CB CG
CA CB CG CD
CB CG CD NE
CG CD NE CZ
CD NE CZ NH1
58.7 -85.7 -177.8 -85.7 180.0
58.7 -75.7 -177.8 -85.7 180.0
58.7 -65.7 -177.8 -85.7 180.0
68.7 -85.7 -177.8 -85.7 180.0
68.7 -75.7 -177.8 -85.7 180.0
68.7 -65.7 -177.8 -85.7 180.0
78.7 -85.7 -177.8 -85.7 180.0
78.7 -75.7 -177.8 -85.7 180.0
78.7 -65.7 -177.8 -85.7 180.0
53.6 -87.9 -77.1 102.9 180.0
53.6 -77.9 -77.1 102.9 180.0
53.6 -67.9 -77.1 102.9 180.0
63.6 -87.9 -77.1 102.9 180.0
63.6 -77.9 -77.1 102.9 180.0
63.6 -67.9 -77.1 102.9 180.0
73.6 -87.9 -77.1 102.9 180.0
73.6 -77.9 -77.1 102.9 180.0
73.6 -67.9 -77.1 102.9 180.0
53.7 -88.1 -64.2 169.9 180.0
53.7 -78.1 -64.2 169.9 180.0
53.7 -68.1 -64.2 169.9 180.0
63.7 -88.1 -64.2 169.9 180.0
63.7 -78.1 -64.2 169.9 180.0
63.7 -68.1 -64.2 169.9 180.0
73.7 -88.1 -64.2 169.9 180.0
73.7 -78.1 -64.2 169.9 180.0
73.7 -68.1 -64.2 169.9 180.0
53.8 -88.2 -59.5 -83.3 180.0
53.8 -78.2 -59.5 -83.3 180.0
53.8 -68.2 -59.5 -83.3 180.0
63.8 -88.2 -59.5 -83.3 180.0
63.8 -78.2 -59.5 -83.3 180.0
63.8 -68.2 -59.5 -83.3 180.0
73.8 -88.2 -59.5 -83.3 180.0
73.8 -78.2 -59.5 -83.3 180.0
73.8 -68.2 -59.5 -83.3 180.0
173.5 55.8 60.2 80.8 180.0
173.5 65.8 60.2 80.8 180.0
173.5 75.8 60.2 80.8 180.0
-176.5 55.8 60.2 80.8 180.0
-176.5 65.8 60.2 80.8 180.0
-176.5 75.8 60.2 80.8 180.0
-166.5 55.8 60.2 80.8 180.0
-166.5 65.8 60.2 80.8 180.0
-166.5 75.8 60.2 80.8 180.0
169.4 55.8 65.3 -170.9 180.0
169.4 65.8 65.3 -170.9 180.0
169.4 75.8 65.3 -170.9 180.0
179.4 55.8 65.3 -170.9 180.0
179.4 65.8 65.3 -170.9 180.0
179.4 75.8 65.3 -170.9 180.0
-170.6 55.8 65.3 -170.9 180.0
-170.6 65.8 65.3 -170.9 180.0
-170.6 75.8 65.3 -170.9 180.0
176.4 58.1 67.3 -103.0 180.0
176.4 68.1 67.3 -103.0 180.0
176.4 78.1 67.3 -103.0 180.0
-173.6 58.1 67.3 -103.0 180.0
-173.6 68.1 67.3 -103.0 180.0
-173.6 78.1 67.3 -103.0 180.0
-163.6 58.1 67.3 -103.0 180.0
-163.6 68.1 67.3 -103.0 180.0
-163.6 78.1 67.3 -103.0 180.0
169.3 56.2 -178.6 85.1 180.0
169.3 66.2 -178.6 85.1 180.0
169.3 76.2 -178.6 85.1 180.0
179.3 56.2 -178.6 85.1 180.0
179.3 66.2 -178.6 85.1 180.0
179.3 76.2 -178.6 85.1 180.0
-170.7 56.2 -178.6 85.1 180.0
-170.7 66.2 -178.6 85.1 180.0
-170.7 76.2 -178.6 85.1 180.0
173.0 57.4 177.0 171.0 180.0
173.0 67.4 177.0 171.0 180.0
173.0 77.4 177.0 171.0 180.0
-177.0 57.4 177.0 171.0 180.0
-177.0 67.4 177.0 171.0 180.0
-177.0 77.4 177.0 171.0 180.0
-167.0 57.4 177.0 171.0 180.0
-167.0 67.4 177.0 171.0 180.0
-167.0 77.4 177.0 171.0 180.0
168.1 56.9 -178.7 -85.3 180.0
168.1 66.9 -178.7 -85.3 180.0
168.1 76.9 -178.7 -85.3 180.0
178.1 56.9 -178.7 -85.3 180.0
178.1 66.9 -178.7 -85.3 180.0
178.1 76.9 -178.7 -85.3 180.0
-171.9 56.9 -178.7 -85.3 180.0
-171.9 66.9 -178.7 -85.3 180.0
-171.9 76.9 -178.7 -85.3 180.0
173.9 71.2 -80.9 103.3 180.0
173.9 81.2 -80.9 103.3 180.0
173.9 91.2 -80.9 103.3 180.0
-176.1 71.2 -80.9 103.3 180.0
-176.1 81.2 -80.9 103.3 180.0
-176.1 91.2 -80.9 103.3 180.0
-166.1 71.2 -80.9 103.3 180.0
-166.1 81.2 -80.9 103.3 180.0
-166.1 91.2 -80.9 103.3 180.0
174.4 69.6 -90.4 172.4 180.0
174.4 79.6 -90.4 172.4 180.0
174.4 89.6 -90.4 172.4 180.0
-175.6 69.6 -90.4 172.4 180.0
-175.6 79.6 -90.4 172.4 180.0
-175.6 89.6 -90.4 172.4 180.0
-165.6 69.6 -90.4 172.4 180.0
-165.6 79.6 -90.4 172.4 180.0
-165.6 89.6 -90.4 172.4 180.0
171.3 68.6 -78.3 -84.6 180.0
171.3 78.6 -78.3 -84.6 180.0
171.3 88.6 -78.3 -84.6 180.0
-178.7 68.6 -78.3 -84.6 180.0
-178.7 78.6 -78.3 -84.6 180.0
-178.7 88.6 -78.3 -84.6 180.0
-168.7 68.6 -78.3 -84.6 180.0
-168.7 78.6 -78.3 -84.6 180.0
-168.7 88.6 -78.3 -84.6 180.0
172.7 168.6 64.9 80.8 180.0
172.7 178.6 64.9 80.8 180.0
172.7 -171.4 64.9 80.8 180.0
-177.3 168.6 64.9 80.8 180.0
-177.3 178.6 64.9 80.8 180.0
-177.3 -171.4 64.9 80.8 180.0
-167.3 168.6 64.9 80.8 180.0
-167.3 178.6 64.9 80.8 180.0
-167.3 -171.4 64.9 80.8 180.0
175.9 166.8 67.8 -167.7 180.0
175.9 176.8 67.8 -167.7 180.0
175.9 -173.2 67.8 -167.7 180.0
-174.1 166.8 67.8 -167.7 180.0
-174.1 176.8 67.8 -167.7 180.0
-174.1 -173.2 67.8 -167.7 180.0
-164.1 166.8 67.8 -167.7 180.0
-164.1 176.8 67.8 -167.7 180.0
-164.1 -173.2 67.8 -167.7 180.0
173.3 168.8 63.4 -103.7 180.0
173.3 178.8 63.4 -103.7 180.0
173.3 -171.2 63.4 -103.7 180.0
-176.7 168.8 63.4 -103.7 180.0
-176.7 178.8 63.4 -103.7 180.0
-176.7 -171.2 63.4 -103.7 180.0
-166.7 168.8 63.4 -103.7 180.0
-166.7 178.8 63.4 -103.7 180.0
-166.7 -171.2 63.4 -103.7 180.0
173.2 167.6 178.8 85.2 180.0
173.2 177.6 178.8 85.2 180.0
173.2 -172.4 178.8 85.2 180.0
-176.8 167.6 178.8 85.2 180.0
-176.8 177.6 178.8 85.2 180.0
-176.8 -172.4 178.8 85.2 180.0
-166.8 167.6 178.8 85.2 180.0
-166.8 177.6 178.8 85.2 180.0
-166.8 -172.4 178.8 85.2 180.0
173.1 166.3 178.8 -179.4 180.0
173.1 176.3 178.8 -179.4 180.0
173.1 -173.7 178.8 -179.4 180.0
-176.9 166.3 178.8 -179.4 180.0
-176.9 176.3 178.8 -179.4 180.0
-176.9 -173.7 178.8 -179.4 180.0
-166.9 166.3 178.8 -179.4 180.0
-166.9 176.3 178.8 -179.4 180.0
-166.9 -173.7 178.8 -179.4 180.0
172.5 166.5 -177.8 -85.2 180.0
172.5 176.5 -177.8 -85.2 180.0
172.5 -173.5 -177.8 -85.2 180.0
-177.5 166.5 -177.8 -85.2 180.0
-177.5 176.5 -177.8 -85.2 180.0
-177.5 -173.5 -177.8 -85.2 180.0
-167.5 166.5 -177.8 -85.2 180.0
-167.5 176.5 -177.8 -85.2 180.0
-167.5 -173.5 -177.8 -85.2 180.0
175.6 168.1 -63.4 105.1 180.0
175.6 178.1 -63.4 105.1 180.0
175.6 -171.9 -63.4 105.1 180.0
-174.4 168.1 -63.4 105.1 180.0
-174.4 178.1 -63.4 105.1 180.0
-174.4 -171.9 -63.4 105.1 180.0
-164.4 168.1 -63.4 105.1 180.0
-164.4 178.1 -63.4 105.1 180.0
-164.4 -171.9 -63.4 105.1 180.0
174.6 169.7 -64.8 165.2 180.0
174.6 179.7 -64.8 165.2 180.0
174.6 -170.3 -64.8 165.2 180.0
-175.4 169.7 -64.8 165.2 180.0
-175.4 179.7 -64.8 165.2 180.0
-175.4 -170.3 -64.8 165.2 180.0
-165.4 169.7 -64.8 165.2 180.0
-165.4 179.7 -64.8 165.2 180.0
-165.4 -170.3 -64.8 165.2 180.0
174.4 169.6 -65.0 -82.6 180.0
174.4 179.6 -65.0 -82.6 180.0
174.4 -170.4 -65.0 -82.6 180.0
-175.6 169.6 -65.0 -82.6 180.0
-175.6 179.6 -65.0 -82.6 180.0
-175.6 -170.4 -65.0 -82.6 180.0
-165.6 169.6 -65.0 -82.6 180.0
-165.6 179.6 -65.0 -82.6 180.0
-165.6 -170.4 -65.0 -82.6 180.0
-179.7 -93.6 80.9 82.5 180.0
-179.7 -83.6 80.9 82.5 180.0
-179.7 -73.6 80.9 82.5 180.0
-169.7 -93.6 80.9 82.5 180.0
-169.7 -83.6 80.9 82.5 180.0
-169.7 -73.6 80.9 82.5 180.0
-159.7 -93.6 80.9 82.5 180.0
-159.7 -83.6 80.9 82.5 180.0
-159.7 -73.6 80.9 82.5 180.0
-176.0 -92.2 78.0 -172.4 180.0
-176.0 -82.2 78.0 -172.4 180.0
-176.0 -72.2 78.0 -172.4 180.0
-166.0 -92.2 78.0 -172.4 180.0
-166.0 -82.2 78.0 -172.4 180.0
-166.0 -72.2 78.0 -172.4 180.0
-156.0 -92.2 78.0 -172.4 180.0
-156.0 -82.2 78.0 -172.4 180.0
-156.0 -72.2 78.0 -172.4 180.0
-179.7 -93.6 71.6 -103.2 180.0
-179.7 -83.6 71.6 -103.2 180.0
-179.7 -73.6 71.6 -103.2 180.0
-169.7 -93.6 71.6 -103.2 180.0
-169.7 -83.6 71.6 -103.2 180.0
-169.7 -73.6 71.6 -103.2 180.0
-159.7 -93.6 71.6 -103.2 180.0
-159.7 -83.6 71.6 -103.2 180.0
-159.7 -73.6 71.6 -103.2 180.0
178.6 -95.4 -174.0 84.2 180.0
178.6 -85.4 -174.0 84.2 180.0
178.6 -75.4 -174.0 84.2 180.0
-171.4 -95.4 -174.0 84.2 180.0
-171.4 -85.4 -174.0 84.2 180.0
-171.4 -75.4 -174.0 84.2 180.0
-161.4 -95.4 -174.0 84.2 180.0
-161.4 -85.4 -174.0 84.2 180.0
-161.4 -75.4 -174.0 84.2 180.0
178.7 -97.2 -179.0 -176.1 180.0
178.7 -87.2 -179.0 -176.1 180.0
178.7 -77.2 -179.0 -176.1 180.0
-171.3 -97.2 -179.0 -176.1 180.0
-171.3 -87.2 -179.0 -176.1 180.0
-171.3 -77.2 -179.0 -176.1 180.0
-161.3 -97.2 -179.0 -176.1 180.0
-161.3 -87.2 -179.0 -176.1 180.0
-161.3 -77.2 -179.0 -176.1 180.0
179.0 -94.3 -176.8 -81.1 180.0
179.0 -84.3 -176.8 -81.1 180.0
179.0 -74.3 -176.8 -81.1 180.0
-171.0 -94.3 -176.8 -81.1 180.0
-171.0 -84.3 -176.8 -81.1 180.0
-171.0 -74.3 -176.8 -81.1 180.0
-161.0 -94.3 -176.8 -81.1 180.0
-161.0 -84.3 -176.8 -81.1 180.0
-161.0 -74.3 -176.8 -81.1 180.0
180.0 -102.9 -72.5 104.0 180.0
180.0 -92.9 -72.5 104.0 180.0
180.0 -82.9 -72.5 104.0 180.0
-170.0 -102.9 -72.5 104.0 180.0
-170.0 -92.9 -72.5 104.0 180.0
-170.0 -82.9 -72.5 104.0 180.0
-160.0 -102.9 -72.5 104.0 180.0
-160.0 -92.9 -72.5 104.0 180.0
-160.0 -82.9 -72.5 104.0 180.0
179.8 -101.1 -67.4 170.0 180.0
179.8 -91.1 -67.4 170.0 180.0
179.8 -81.1 -67.4 170.0 180.0
-170.2 -101.1 -67.4 170.0 180.0
-170.2 -91.1 -67.4 170.0 180.0
-170.2 -81.1 -67.4 170.0 180.0
-160.2 -101.1 -67.4 170.0 180.0
-160.2 -91.1 -67.4 170.0 180.0
-160.2 -81.1 -67.4 170.0 180.0
-175.9 -94.4 -59.4 -82.3 180.0
-175.9 -84.4 -59.4 -82.3 180.0
-175.9 -74.4 -59.4 -82.3 180.0
-165.9 -94.4 -59.4 -82.3 180.0
-165.9 -84.4 -59.4 -82.3 180.0
-165.9 -74.4 -59.4 -82.3 180.0
-155.9 -94.4 -59.4 -82.3 180.0
